Partition,Algorithm,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,Predict.nDCG,TopN.nDCG,MAP,MRR
4,svd,13.243,0.437,172,860,860,1.0,0.9737343584749527,0.04705880099232029,0.06305845859557237,0.06677292887981008
5,ii-log,56.067,118.501,172,860,860,1.0,0.9649001633273834,0.08909617954493435,0.12749566932926382,0.14315079900700323
5,ii-svd-log,67.376,122.373,172,860,860,1.0,0.9710294942466456,0.08058336917178263,0.1152952379063249,0.12750001798947516
4,ii-svd-log,61.004,116.5,172,860,860,1.0,0.9717904404110714,0.10250291544604367,0.14479728672884537,0.1575380727949268
4,lucene-svd-log,44.291000000000004,81.669,172,860,860,1.0,0.9717715152952786,0.11455045915680785,0.17176644007282577,0.19360705295307123
3,popular,0.005,0.224,,,,,,0.12280981594511921,0.1725402075982454,0.19816285558148844
4,ii,11.056000000000001,53.938,172,860,860,1.0,0.9733646511606281,0.036015316698856964,0.0614831412430662,0.06725630057727204
3,lucene,0.01,20.949,172,860,823,0.9569767441860465,0.9540536488857534,0.03339036743226588,0.040301092842310544,0.0437401735214733
3,svd-log,14.745000000000001,1.655,172,860,860,1.0,0.9681172743603501,0.12316372537353384,0.1888231029359311,0.21802183042705917
3,svd,13.108,0.492,172,860,860,1.0,0.9737876237458626,0.044607778168369486,0.0708855108293043,0.07895329993334511
4,ii-log,46.544000000000004,112.607,172,860,860,1.0,0.9694263441926099,0.10665141952676307,0.16130210745548537,0.17753869157749336
3,lucene-log,30.572,84.209,172,860,860,1.0,0.9665319853299833,0.12756984728749188,0.1745819633264851,0.20172225552156922
1,ii-log,44.332,121.84100000000001,173,865,865,1.0,0.9678087105560862,0.11114229085148,0.13975184745868172,0.17602430635116947
3,ii,11.165000000000001,56.306000000000004,172,860,860,1.0,0.9763085320418141,0.025921641609962902,0.035542898614071214,0.03809793401794383
3,lucene-svd-log,40.894,85.22800000000001,172,860,860,1.0,0.972542684948091,0.12294636409491567,0.17825327736061164,0.19875079520234276
2,popular,0.005,0.27,,,,,,0.12548801056618403,0.17785250825234147,0.2134057353167823
2,lucene,0.004,21.202,173,865,840,0.9710982658959537,0.9579293094381333,0.03691173214539653,0.05046786444010024,0.05573081237708688
3,ii-svd-log,57.639,120.646,172,860,860,1.0,0.9723034517570647,0.10905031498094976,0.16019953574658857,0.17972251328643585
2,svd-log,14.835,1.6600000000000001,173,865,865,1.0,0.9666455584267504,0.11821467401322669,0.1749619567663408,0.1905853013306112
2,lucene-log,29.827,81.461,173,865,865,1.0,0.9677468583400423,0.12468048721560754,0.20494625753492746,0.22963883064010138
2,svd,13.247,0.443,173,865,865,1.0,0.9706953646926134,0.0611690820255852,0.09906106999693139,0.10948584913558333
3,ii-log,43.385,118.938,172,860,860,1.0,0.9675150452987789,0.11924786919318882,0.15932772049073224,0.17730047652256575
2,lucene-svd-log,40.096000000000004,79.662,173,865,865,1.0,0.9715532590427197,0.11780638331592828,0.19186242886720703,0.2069055023789361
2,ii,11.115,50.405,173,865,865,1.0,0.9694990389683749,0.049730177168325805,0.07486224141608988,0.0804152946570044
1,lucene-svd-log,39.798,81.46300000000001,173,865,865,1.0,0.9723003950824421,0.10779706690082314,0.14145925227909828,0.16404006708865926
2,ii-svd-log,54.306000000000004,103.572,173,865,865,1.0,0.9711657066836666,0.10967830946943627,0.16958049716719262,0.19351690249576753
2,ii-log,42.332,97.766,173,865,865,1.0,0.9669432034739109,0.12106389551347115,0.1758246156723836,0.19750174871767567
1,lucene-log,25.628,64.087,173,865,865,1.0,0.9672086431788335,0.10710709861475323,0.1514413212539463,0.17480045204185168
1,ii-svd-log,49.525,78.783,173,865,865,1.0,0.9721062845376076,0.10476008569613005,0.13137882310879798,0.163114809317719
