Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,popular,58579,0.003,,,,,,0.0,0.0,,0.0
5,popular,58802,0.003,,,,,,0.0,0.0,,0.0
5,popular,61755,0.003,,,,,,0.17107070900644927,0.3333333333333333,3,0.3333333333333333
5,popular,62732,0.002,,,,,,0.5651259265459482,0.5833333333333333,2,0.5
5,popular,63200,0.003,,,,,,0.05967467946976691,0.045454545454545456,22,0.045454545454545456
5,popular,63295,0.002,,,,,,0.12701295492032139,0.25,4,0.25
5,popular,63902,0.002,,,,,,0.16196773257600885,0.09903381642512077,9,0.1111111111111111
5,popular,65874,0.002,,,,,,0.06729192149153616,0.045454545454545456,22,0.045454545454545456
5,popular,66281,0.002,,,,,,0.11144423409559587,0.16666666666666666,6,0.16666666666666666
5,popular,67026,0.002,,,,,,0.07480258343606057,0.04,25,0.04
5,popular,68874,0.002,,,,,,0.0,0.0,,0.0
5,popular,69374,0.002,,,,,,0.4053644355594846,0.28104575163398693,2,0.5
5,popular,69498,0.002,,,,,,0.0,0.0,,0.0
5,popular,70740,0.002,,,,,,0.0,0.0,,0.0
5,popular,70835,0.002,,,,,,0.4676985168810324,0.5,1,1.0
5,popular,70939,0.003,,,,,,0.0,0.0,,0.0
5,popular,72633,0.002,,,,,,0.16948826421994334,0.25,4,0.25
5,popular,72971,0.002,,,,,,0.0,0.0,,0.0
5,popular,73680,0.002,,,,,,0.0,0.0,,0.0
5,popular,73947,0.002,,,,,,0.0,0.0,,0.0
5,popular,74182,0.002,,,,,,0.28175159379889814,0.29166666666666663,3,0.3333333333333333
5,popular,74546,0.002,,,,,,0.0,0.0,,0.0
5,popular,75001,0.002,,,,,,0.0,0.0,,0.0
5,popular,75195,0.001,,,,,,0.30587490546116547,1.0,1,1.0
5,popular,79107,0.002,,,,,,0.0,0.0,,0.0
5,popular,79846,0.002,,,,,,0.0,0.0,,0.0
5,popular,80070,0.002,,,,,,0.0,0.0,,0.0
5,popular,80585,0.002,,,,,,0.627839095684909,0.4471428571428572,1,1.0
5,popular,80946,0.002,,,,,,0.1526702755229007,0.09166666666666667,10,0.1
5,popular,81574,0.002,,,,,,0.0,0.0,,0.0
5,popular,81783,0.002,,,,,,0.08664680123694145,0.08333333333333333,12,0.08333333333333333
5,popular,82472,0.002,,,,,,0.0,0.0,,0.0
5,popular,83631,0.002,,,,,,0.09498280718139997,0.1,10,0.1
5,popular,83891,0.002,,,,,,0.025474692954391344,0.041666666666666664,24,0.041666666666666664
5,popular,84549,0.002,,,,,,0.07821699337268105,0.125,8,0.125
5,popular,85242,0.002,,,,,,0.0,0.0,,0.0
5,popular,85391,0.002,,,,,,0.4132774412590265,0.375,2,0.5
5,popular,85617,0.002,,,,,,0.34674703788072825,0.5,2,0.5
5,popular,86204,0.002,,,,,,0.0,0.0,,0.0
5,popular,87502,0.002,,,,,,0.30877550231172457,0.5,2,0.5
5,popular,88455,0.002,,,,,,0.0,0.0,,0.0
5,popular,93623,0.002,,,,,,0.0,0.0,,0.0
5,popular,93705,0.002,,,,,,0.07047872414922873,0.058823529411764705,17,0.058823529411764705
5,popular,96370,0.001,,,,,,0.0,0.0,,0.0
5,popular,96557,0.002,,,,,,0.0,0.0,,0.0
5,popular,96977,0.002,,,,,,0.0,0.0,,0.0
5,popular,96985,0.002,,,,,,0.07856232967920106,0.1111111111111111,9,0.1111111111111111
5,popular,98541,0.002,,,,,,0.0,0.0,,0.0
5,popular,99471,0.002,,,,,,0.0,0.0,,0.0
5,popular,101952,0.002,,,,,,0.39022255892690466,0.6428571428571428,1,1.0
5,popular,102118,0.002,,,,,,0.4018022138837837,0.5588235294117647,1,1.0
5,popular,102679,0.002,,,,,,0.0,0.0,,0.0
5,popular,103754,0.002,,,,,,0.16234283762641494,1.0,1,1.0
5,popular,103872,0.001,,,,,,0.0,0.0,,0.0
5,popular,104529,0.002,,,,,,0.0,0.0,,0.0
5,popular,105214,0.002,,,,,,0.07701404138846028,0.047619047619047616,21,0.047619047619047616
5,popular,105841,0.004,,,,,,0.0,0.0,,0.0
5,popular,108010,0.003,,,,,,0.0,0.0,,0.0
5,popular,108442,0.002,,,,,,0.18001111688320146,0.12878787878787878,6,0.16666666666666666
5,popular,109347,0.002,,,,,,0.0,0.0,,0.0
5,popular,109429,0.002,,,,,,0.1245716649916475,0.07107843137254902,17,0.058823529411764705
5,popular,109550,0.002,,,,,,0.09695569932562477,0.08333333333333333,12,0.08333333333333333
5,popular,109692,0.002,,,,,,0.13979072589037547,0.2,5,0.2
5,popular,109970,0.002,,,,,,0.0,0.0,,0.0
5,popular,111206,0.002,,,,,,0.11839454052619855,0.25,4,0.25
5,popular,111841,0.002,,,,,,0.05673410253550734,0.047619047619047616,21,0.047619047619047616
5,popular,113645,0.002,,,,,,0.16448490743363092,0.2,5,0.2
5,popular,113847,0.002,,,,,,0.06536921724242366,0.05263157894736842,19,0.05263157894736842
5,popular,114316,0.002,,,,,,0.0,0.0,,0.0
5,popular,114448,0.002,,,,,,0.2661687902122372,0.29166666666666663,4,0.25
5,popular,115364,0.002,,,,,,0.0,0.0,,0.0
5,popular,117144,0.001,,,,,,0.056675768254304724,0.047619047619047616,21,0.047619047619047616
5,popular,117905,0.002,,,,,,0.0,0.0,,0.0
5,popular,117918,0.002,,,,,,0.15428568948237034,0.1625,5,0.2
5,popular,119134,0.002,,,,,,0.14764815422968036,0.10250000000000001,8,0.125
5,popular,119501,0.002,,,,,,0.11339186319169543,0.125,8,0.125
5,popular,119625,0.002,,,,,,0.0,0.0,,0.0
5,popular,120320,0.002,,,,,,0.09899495150997803,0.16666666666666666,6,0.16666666666666666
5,popular,120782,0.002,,,,,,0.5377880386950352,0.5555555555555555,2,0.5
5,popular,124683,0.002,,,,,,0.0,0.0,,0.0
5,popular,124981,0.002,,,,,,0.08199599404382077,0.1111111111111111,9,0.1111111111111111
5,popular,125012,0.002,,,,,,0.3175336223641074,0.41666666666666663,3,0.3333333333333333
5,popular,125084,0.002,,,,,,0.19295413850601373,0.1875,4,0.25
5,popular,125171,0.001,,,,,,0.0,0.0,,0.0
5,popular,125984,0.001,,,,,,0.3333263257838566,1.0,1,1.0
5,popular,127536,0.001,,,,,,0.0,0.0,,0.0
5,popular,128045,0.001,,,,,,0.0,0.0,,0.0
5,popular,128224,0.001,,,,,,0.40095019061390536,1.0,1,1.0
5,popular,128236,0.002,,,,,,0.06120105535274841,0.04,25,0.04
5,popular,128329,0.002,,,,,,0.050036748475729635,0.043478260869565216,23,0.043478260869565216
5,popular,129005,0.001,,,,,,0.13251297104302318,0.2,5,0.2
5,popular,131439,0.002,,,,,,0.0,0.0,,0.0
5,popular,131616,0.002,,,,,,0.0,0.0,,0.0
5,popular,131620,0.001,,,,,,0.0,0.0,,0.0
5,popular,132229,0.002,,,,,,0.0,0.0,,0.0
5,popular,132595,0.002,,,,,,0.06349469800193142,0.04,25,0.04
5,popular,133047,0.002,,,,,,0.2642825886663527,1.0,1,1.0
5,popular,134156,0.001,,,,,,0.0,0.0,,0.0
5,popular,134401,0.001,,,,,,0.0,0.0,,0.0
5,popular,135092,0.001,,,,,,0.06754495255420709,0.1111111111111111,9,0.1111111111111111
5,popular,135223,0.002,,,,,,0.0,0.0,,0.0
5,popular,137559,0.002,,,,,,0.0,0.0,,0.0
5,lucene,2988,4.738,5,5,1.0,0.94041378877658,12.196678442077467,0.0,0.0,,0.0
5,lucene,4347,0.648,5,5,1.0,1.0,10.969480655897856,0.0,0.0,,0.0
5,lucene,5475,0.6880000000000001,5,5,1.0,0.9652454088579797,13.031086967542706,0.0,0.0,,0.0
5,lucene,7541,0.997,5,5,1.0,0.9840063601616249,15.381213565291738,0.0,0.0,,0.0
5,lucene,7880,0.16,5,5,1.0,0.967918491067107,11.135072130432615,0.0,0.0,,0.0
5,lucene,8527,0.101,5,5,1.0,0.9960107023234545,17.30803155822425,0.0831728494685694,0.09090909090909091,11,0.09090909090909091
5,lucene,8932,0.125,5,5,1.0,0.9618444950291573,12.60426897461019,0.0,0.0,,0.0
5,lucene,10055,0.14300000000000002,5,4,0.8,0.8372222938013606,11.27371901428583,0.0,0.0,,0.0
5,lucene,10164,0.177,5,5,1.0,0.9352296632131073,12.330833772044642,0.0,0.0,,0.0
5,lucene,11343,0.164,5,5,1.0,1.0,12.50028381172028,0.0,0.0,,0.0
5,lucene,12778,0.17,5,5,1.0,0.983602713688175,14.9964252465794,0.0,0.0,,0.0
5,lucene,12947,0.13,5,5,1.0,0.9862958337928599,13.281086967542706,0.0,0.0,,0.0
5,lucene,13665,0.117,5,5,1.0,0.9634631629123275,13.184818934934553,0.10998683910077646,0.1,10,0.1
5,lucene,13814,0.11800000000000001,5,5,1.0,0.995273146636425,14.596551844328435,0.0,0.0,,0.0
5,lucene,15415,0.11800000000000001,5,5,1.0,1.0,14.7464252465794,0.0,0.0,,0.0
5,lucene,15479,0.105,5,5,1.0,0.966812137230096,14.565748688506009,0.0,0.0,,0.0
5,lucene,16539,0.061,5,5,1.0,1.0,13.173592416536797,0.3795471912220015,0.5,2,0.5
5,lucene,16559,0.045,5,5,1.0,0.9743401517537063,15.927101804652795,0.0,0.0,,0.0
5,lucene,18675,0.11900000000000001,5,5,1.0,1.0,10.684818934934553,0.0,0.0,,0.0
5,lucene,19517,0.047,5,4,0.8,0.8413745848659034,11.261859507142916,0.09085283090541213,0.07692307692307693,13,0.07692307692307693
5,lucene,19560,0.132,5,5,1.0,1.0,13.600410409469312,0.0,0.0,,0.0
5,lucene,20028,0.129,5,5,1.0,0.9626653741155505,11.204395572359223,0.0,0.0,,0.0
5,lucene,21050,0.059000000000000004,5,4,0.8,0.8891179747578769,9.315464876785729,0.10507842478494026,0.058823529411764705,17,0.058823529411764705
5,lucene,21391,0.126,5,5,1.0,0.9948073924470939,13.281086967542706,0.0,0.0,,0.0
5,lucene,23068,0.154,5,5,1.0,1.0,12.10812753975107,0.0,0.0,,0.0
5,lucene,23428,0.094,5,5,1.0,0.9679495611412566,15.100410409469312,0.0,0.0,,0.0
5,lucene,23852,0.09,5,5,1.0,0.9710762666992239,10.850410409469312,0.0,0.0,,0.0
5,lucene,24200,0.11,5,5,1.0,0.9914512991669996,15.184818934934553,0.0,0.0,,0.0
