Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
3,lucene,,0.042,17.789,172,860,842,0.9790697674418605,0.7211977785742365,0.8153705639068403,0.9616620777470387,0.03059138434196562,0.04954556153760559,0.049780888226420655
4,lucene-svd-blend,0,0.016,71.495,172,860,860,1.0,0.7426009238578781,0.8311873949816603,0.9705043044900444,0.03944978724720893,0.05874416378722452,0.0605511345545686
4,ii,,0.045,37.683,172,860,860,1.0,0.7430826773382598,0.8313129422200778,0.9688151412968532,0.040888472077556574,0.06135044387177368,0.06753494251266769
4,ii-svd-blend,0.1,0.06,93.486,172,860,860,1.0,0.7401908943303176,0.8282395529111688,0.9683607043168642,0.04579163327160395,0.07161917567361974,0.07744144792726207
4,ii-svd-blend,0,0.055,93.85600000000001,172,860,860,1.0,0.7430826773382598,0.8313129422200778,0.9688151412968532,0.040888472077556574,0.06135044387177368,0.06753494251266769
1,lucene-svd-blend,0.2,0.017,72.028,173,865,865,1.0,0.7354607251566498,0.8291344900369177,0.9725814216807646,0.028229989977700532,0.03571529130351882,0.03909576756204602
3,lucene-svd-blend,0.9,13.417,74.376,172,860,860,1.0,0.7034501186517819,0.7932172913849961,0.9726149609182428,0.05539870511212067,0.09127966924707462,0.09838452795765548
3,lucene-svd-blend,1.0,31.148,74.601,172,860,860,1.0,0.7087459452066306,0.8008517203611575,0.9715293583068865,0.051381023724667095,0.08139429537671462,0.08351189626677227
3,lucene-svd-blend,0.8,0.017,74.59,172,860,860,1.0,0.6999571090481052,0.7877908516582589,0.9732644405384424,0.05497509158066386,0.09800508726191234,0.1058397807955442
3,lucene-svd-blend,0.7,0.016,74.109,172,860,860,1.0,0.6981335597184799,0.7846182140495531,0.9742606108086349,0.05548951639013997,0.10502878354725842,0.11476849920096177
3,ii-svd-blend,1.0,26.433,99.989,172,860,860,1.0,0.7087459452066306,0.8008517203611575,0.9715293583068865,0.051381023724667095,0.08139429537671462,0.08351189626677227
3,ii-svd-blend,0.9,10.791,100.23400000000001,172,860,860,1.0,0.7043490709821152,0.7957032536132922,0.9710057203442152,0.05196095689764201,0.08030575428223745,0.08281206722374189
3,ii-svd-blend,0.8,0.053,99.755,172,860,860,1.0,0.7008660878046163,0.7914849709593769,0.9707550570639665,0.05171085578128546,0.08413291242621106,0.08852611883900133
1,ii-svd-blend,0.3,0.065,98.23,173,865,865,1.0,0.7245901243755518,0.8137704876188255,0.9718819167839685,0.04070111563296533,0.05197101163340716,0.05355145097490164
3,lucene-svd-blend,0.6,0.016,74.26,172,860,860,1.0,0.6979243430698088,0.7837267501736471,0.9730394631259073,0.05569334499632644,0.10632981446160159,0.11313695286163727
3,lucene-svd-blend,0.5,0.016,74.162,172,860,860,1.0,0.699311924769722,0.7851242304977939,0.9720519218285077,0.05111242140928006,0.10748520340508604,0.110338938816961
3,ii-svd-blend,0.7,0.054,99.674,172,860,860,1.0,0.6983023389725841,0.7882118067732717,0.9703681108687883,0.05037306403213171,0.08202700577696077,0.08601318245897588
3,lucene-svd-blend,0.4,0.017,74.282,172,860,860,1.0,0.7022940882299765,0.7887984894441229,0.9711842029332898,0.04745249970818792,0.09229532774257719,0.09874189474146979
3,ii-svd-blend,0.6,0.055,99.84100000000001,172,860,860,1.0,0.6966593583465694,0.7858955700711376,0.9698668869827659,0.04678497775266639,0.08624004313457101,0.089251892005148
1,lucene-svd-blend,0.3,0.016,73.428,173,865,865,1.0,0.7298666628905768,0.821710879361009,0.9730036105910403,0.030557356084240636,0.04409307564566754,0.046533666525564774
3,ii-svd-blend,0.5,0.053,100.10300000000001,172,860,860,1.0,0.695935051409071,0.7845447364022807,0.9694310725719082,0.0444943733297494,0.0783593527381738,0.07960281226971397
3,ii-svd-blend,0.4,0.058,100.21900000000001,172,860,860,1.0,0.6961242375459223,0.7841642949114958,0.9684477691062114,0.04189710354294874,0.07601427715942212,0.07690608027344442
3,lucene-svd-blend,0.3,0.016,74.303,172,860,860,1.0,0.7068740142832396,0.7947179486091139,0.9707810845900653,0.04312711828206018,0.07178625764800076,0.07968977370558657
