Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,66756,0.024,5,5,1.0,0.8602292641247469,0.9574149260468404,14.184818934934553,0.06605148271933765,0.058823529411764705,17,0.058823529411764705
5,lucene,,67026,0.049,5,5,1.0,0.5381987500293044,0.960820312809477,13.961763525616098,0.0,0.0,,0.0
5,lucene,,67352,0.08700000000000001,5,4,0.8,0.4473622569047616,0.8573772804120982,8.577324383928644,0.0,0.0,,0.0
5,lucene,,67584,0.059000000000000004,5,5,1.0,1.027100090793231,1.0,11.673592416536797,0.0,0.0,,0.0
5,lucene,,67615,0.039,5,5,1.0,0.3216272884730701,0.9862958337928599,13.281086967542706,0.0,0.0,,0.0
5,lucene,,68205,0.064,5,5,1.0,0.5614583469755279,0.9473446016157636,12.315748688506009,0.0,0.0,,0.0
5,lucene,,71052,0.041,5,5,1.0,0.5362422805488513,0.9691068614378588,13.631213565291738,0.0,0.0,,0.0
5,lucene,,71362,0.032,5,5,1.0,1.0742211817900709,0.9179948888160556,12.7464252465794,0.0,0.0,,0.0
5,lucene,,72633,0.016,5,5,1.0,0.5491959909379847,0.9741008494072941,13.881213565291738,0.0,0.0,,0.0
5,lucene,,72832,0.07100000000000001,5,3,0.6,0.6287299185221056,0.7768062610832323,7.630929753571458,0.0,0.0,,0.0
5,lucene,,72971,0.074,5,5,1.0,1.1154187721269473,0.9952747505548145,13.788804097824462,0.0,0.0,,0.0
5,lucene,,73132,0.043000000000000003,5,3,0.6,0.6693024847521637,0.6399614445424818,9.02371901428583,0.0,0.0,,0.0
5,lucene,,73680,0.056,5,5,1.0,0.583609855565917,0.9749787698230399,14.381213565291738,0.0,0.0,,0.0
5,lucene,,74730,0.07200000000000001,5,4,0.8,0.6272225544972737,0.8884918176160594,12.839183891071558,0.0,0.0,,0.0
5,lucene,,75001,0.04,5,5,1.0,0.39135129175714417,0.9820988998287831,13.715622090756977,0.0,0.0,,0.0
5,lucene,,77016,0.055,5,5,1.0,0.6265478112931695,1.0,14.850410409469312,0.0,0.0,,0.0
5,lucene,,78917,0.062,5,5,1.0,0.8272663355714366,1.0,13.885072130432615,0.0,0.0,,0.0
5,lucene,,80070,0.016,5,5,1.0,0.520204803567422,0.9672058310558286,10.885072130432615,0.0,0.0,,0.0
5,lucene,,81998,0.055,5,5,1.0,1.4371043026908892,0.9833873780658439,10.923592416536797,0.0,0.0,,0.0
5,lucene,,83360,0.043000000000000003,5,5,1.0,0.6252927717758746,0.9867570706135603,12.338550902326398,0.31016553377947903,0.26666666666666666,3,0.3333333333333333
5,lucene,,83416,0.022,5,5,1.0,0.42897938132159735,0.9928639457526953,13.930960369793672,0.0,0.0,,0.0
5,lucene,,84549,0.064,5,5,1.0,0.5300533982184041,1.0,13.385072130432615,0.0,0.0,,0.0
5,lucene,,86309,0.017,5,5,1.0,1.5419248475068748,0.8777113944532869,10.215622090756977,0.0,0.0,,0.0
5,lucene,,86449,0.03,5,5,1.0,0.9161254611148684,0.9785586045111381,14.93867750007543,0.0,0.0,,0.0
5,lucene,,86783,0.049,5,5,1.0,0.08923973784308874,1.0,14.781086967542706,0.0,0.0,,0.0
5,lucene,,88738,0.06,5,5,1.0,1.4851059069804526,0.8374435697709359,8.954395572359223,0.0,0.0,,0.0
5,lucene,,89617,0.054,5,5,1.0,1.8176651637248817,0.8379958423684009,8.276944590681547,0.0,0.0,,0.0
5,lucene,,89721,0.045,5,5,1.0,0.31032143129720635,1.0,15.881213565291738,0.1574187003859535,0.25,4,0.25
5,lucene,,90097,0.035,5,4,0.8,0.557833605210609,0.9827578436082737,12.27371901428583,0.09258179205325319,0.09090909090909091,11,0.09090909090909091
5,lucene,,91428,0.052000000000000005,5,5,1.0,0.41236276205789885,0.9714992126884457,14.81189012336513,0.0,0.0,,0.0
5,lucene,,91973,0.046,5,5,1.0,1.4585750052094768,0.8628620461060011,10.7464252465794,0.01751223419220627,0.041666666666666664,24,0.041666666666666664
5,lucene,,92861,0.07200000000000001,5,3,0.6,0.14117334384600097,0.7516768002297415,9.2082541375001,0.0,0.0,,0.0
